ranking,id,imageUrl,traitCount,formula,rarity,Moon,Flag,Weapons,Body,Skin,Eyes,Accessories,,,1000000
23,2111,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2111.png,7,0.078759067,0.000000079,Purple,Moonriver,Hidden Blades,Light Blue,Pale Face Tats,Solid,Moon Gauntlet,,,
24,3496,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3496.png,7,0.083776593,0.000000084,Yellow,Kusama,Dual High Frequency Blades,Yellow,Cyborg,Innocent,Moonlight Visor,,,
25,3426,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3426.png,7,0.087475354,0.000000087,Orange,Kusama,Hidden Blades,Green,Tan Face Tats,Angry,Moonriver Ice Cream Necklace,,switched,
26,3290,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3290.png,7,0.087525555,0.000000088,Orange,Kusama,Dual High Frequency Blades,Gray,Tan Eye Gash,Angry,Moonriver Ice Cream Necklace,,switched,
27,666,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/666.png,6,0.089904069,0.000000090,Blue,None,Buster Sword,Gray,Cyborg,Faded,Rabbit Mask,,,
28,1335,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1335.png,7,0.093337606,0.000000093,Pink,Kusama,Buster Sword,Light Blue,Cyborg,Angry,Moon Gauntlet,,,
29,3943,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3943.png,7,0.097195163,0.000000097,Green,Moonriver,Dual High Frequency Blades,Red,Tan Face Tats,Faded,Moonlight Visor,,switched,
30,4216,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/4216.png,7,0.097622341,0.000000098,Pink,Kusama,Dual High Frequency Blades,White,Tan Eye Gash,Cyclops,Moonlight Visor,,switched,
31,1585,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1585.png,7,0.107644893,0.000000108,Blue,Kusama,High Frequency Blade,Gray,Pale,Solid,Moonlight Visor,,,
32,1399,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1399.png,7,0.111526547,0.000000112,Blue,Kusama,Dual High Frequency Blades,Dark Blue,Pale Eye Gash,Joy,Moon Gauntlet,,,
33,3250,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3250.png,7,0.115763575,0.000000116,Red,Moonriver,High Frequency Blade,Dark Blue,Pale,Glowing,Sonichu Medallion,,,
34,2040,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2040.png,7,0.118626941,0.000000119,Orange,Kusama,High Frequency Blade,White,Pale Eye Gash,Cyclops,Moon Gauntlet,,,
35,3445,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3445.png,7,0.119550585,0.000000120,Yellow,Moonriver,Hidden Blades,Green,Pale Eye Gash,Anime,Moonlight Visor,,,
36,1867,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1867.png,7,0.127821171,0.000000128,Purple,Moonriver,Ethereal Master Sword,Light Blue,Tan Face Tats,Cyclops,Kilt Protocol,,,
37,767,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/767.png,7,0.133726329,0.000000134,Green,Kusama,MoonBlade,Purple,Tan,Joy,Moon Gauntlet,,,
38,125,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/125.png,7,0.134789356,0.000000135,Purple,Moonriver,Hidden Blades,Gray,Tan Face Tats,Joy,Moon Gauntlet,,,
39,1165,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1165.png,6,0.136364713,0.000000136,Green,Moonriver,High Frequency Blade,White,Tan Face Tats,Glowing,None,,,
40,2734,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2734.png,7,0.139272161,0.000000139,Green,Kusama,Hidden Blades,Light Blue,Pale Face Tats,Angry,Sonichu Medallion,,,
41,1734,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1734.png,7,0.141375333,0.000000141,Yellow,Kusama,Dual High Frequency Blades,Yellow,Tan,Angry,Kilt Protocol,,,
42,3229,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3229.png,7,0.145671163,0.000000146,Blue,Kusama,Buster Sword,Gray,Tan Face Tats,Angry,Moonlight Visor,,,
43,256,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/256.png,6,0.149780322,0.000000150,Yellow,None,Buster Sword,Light Blue,Tan Face Tats,Faded,Rabbit Mask,,,
44,2690,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2690.png,7,0.153840694,0.000000154,Blue,Kusama,Odradek,Gray,Tan Eye Gash,Anime,Moonlight Visor,,,
45,367,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/367.png,7,0.16032596,0.000000160,Green,Moonriver,Buster Sword,Dark Blue,Pale Face Tats,Joy,Moonlight Visor,,,
46,4258,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/4258.png,7,0.160990248,0.000000161,Blue,Kusama,Odradek,Dark Blue,Tan Eye Gash,Glowing,Moon Gauntlet,,,
47,1813,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1813.png,7,0.161626566,0.000000162,Blue,Kusama,Buster Sword,Green,Tan Eye Gash,Joy,Kilt Protocol,,,
48,2431,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2431.png,7,0.161761556,0.000000162,Yellow,Moonriver,Odradek,White,Tan Face Tats,Cyclops,Moonlight Visor,,,
49,3659,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3659.png,7,0.164745524,0.000000165,Red,Kusama,High Frequency Blade,White,Tan,Innocent,Moon Gauntlet,,,
50,3427,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3427.png,6,0.164837566,0.000000165,Orange,None,Dual High Frequency Blades,White,Pale Face Tats,Angry,Moon Gauntlet,,,
51,1929,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1929.png,7,0.164947191,0.000000165,Green,Moonriver,Odradek,Light Blue,Tan Eye Gash,Anime,Moon Gauntlet,,,
52,1070,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1070.png,7,0.165095194,0.000000165,Orange,Kusama,Buster Sword,Purple,Pale Eye Gash,Glowing,Kilt Protocol,,,
53,599,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/599.png,7,0.171491693,0.000000171,Green,Moonriver,Buster Sword,Yellow,Pale Eye Gash,Anime,Moonriver Ice Cream Necklace,,,
54,263,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/263.png,7,0.171531946,0.000000172,Orange,Moonriver,The Great Knife,Red,Pale Eye Gash,Joy,Kilt Protocol,,,
55,1069,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1069.png,7,0.171934885,0.000000172,Green,Kusama,Ethereal Master Sword,Purple,Pale,Angry,Sonichu Medallion,,,
56,3044,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3044.png,7,0.17469082,0.000000175,Pink,Moonriver,High Frequency Blade,Yellow,Tan,Joy,Moon Gauntlet,,,
57,461,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/461.png,7,0.177841699,0.000000178,Blue,Moonriver,Buster Sword,Green,Tan Eye Gash,Angry,Moon Gauntlet,,,
58,3530,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3530.png,6,0.179156147,0.000000179,Green,Moonriver,MoonBlade,Red,Tan Face Tats,Glowing,None,,,
59,259,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/259.png,7,0.180240673,0.000000180,Yellow,Kusama,Ethereal Master Sword,Green,Pale Eye Gash,Faded,Moonriver Ice Cream Necklace,,,
60,3552,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3552.png,7,0.180433184,0.000000180,Purple,Kusama,High Frequency Blade,Green,Tan Eye Gash,Faded,Sonichu Medallion,,,
61,1474,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1474.png,7,0.183201133,0.000000183,Purple,Kusama,Odradek,Dark Blue,Pale Eye Gash,Glowing,Sonichu Medallion,,,
62,3765,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3765.png,7,0.184106845,0.000000184,Purple,Moonriver,Odradek,Gray,Pale Eye Gash,Solid,Moonlight Visor,,,
63,1772,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1772.png,7,0.184930971,0.000000185,Orange,Moonriver,Buster Sword,Purple,Pale Eye Gash,Glowing,Moonlight Visor,,,
64,3755,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3755.png,7,0.186497619,0.000000186,Orange,Kusama,Buster Sword,White,Tan,Joy,Sonichu Medallion,,,
65,2483,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2483.png,6,0.186978366,0.000000187,Green,None,Dual High Frequency Blades,Dark Blue,Cyborg,Glowing,Kilt Protocol,,,
66,1299,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1299.png,6,0.188777089,0.000000189,Red,None,Dual High Frequency Blades,Red,Pale Face Tats,Solid,Moonlight Visor,,,
67,714,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/714.png,6,0.201177568,0.000000201,Pink,None,Ethereal Master Sword,Yellow,Cyborg,Solid,Moonlight Visor,,,
68,3926,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3926.png,6,0.204115934,0.000000204,Red,None,High Frequency Blade,Purple,Cyborg,Anime,Moonlight Visor,,,
69,2812,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2812.png,7,0.207547553,0.000000208,Red,Moonriver,The Great Knife,Light Blue,Pale,Glowing,Kilt Protocol,,,
70,3822,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3822.png,6,0.209459038,0.000000209,Green,Moonriver,Dual High Frequency Blades,Green,Pale Face Tats,Anime,None,,,
71,1627,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1627.png,7,0.212204782,0.000000212,Yellow,Moonriver,The Great Knife,Red,Pale Face Tats,Faded,Kilt Protocol,,,
72,1026,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1026.png,7,0.224346468,0.000000224,Orange,Moonriver,MoonBlade,Yellow,Pale Eye Gash,Innocent,Moonlight Visor,,,
73,104,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/104.png,6,0.228491921,0.000000228,Pink,None,MoonBlade,Yellow,Cyborg,Angry,Moonriver Ice Cream Necklace,,,
74,215,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/215.png,7,0.230232233,0.000000230,Red,Kusama,Buster Sword,Green,Pale Face Tats,Innocent,Moon Gauntlet,,,
75,443,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/443.png,7,0.232287433,0.000000232,Orange,Kusama,Odradek,Red,Pale Face Tats,Innocent,Moonlight Visor,,,
76,2745,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2745.png,7,0.235004926,0.000000235,Red,Kusama,Hidden Blades,Gray,Tan Eye Gash,Joy,Moonriver Ice Cream Necklace,,,
77,716,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/716.png,7,0.236495587,0.000000236,Orange,Kusama,The Great Knife,Light Blue,Tan Eye Gash,Angry,Moon Gauntlet,,,
78,737,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/737.png,7,0.236837213,0.000000237,Yellow,Kusama,The Great Knife,Yellow,Tan,Anime,Moon Gauntlet,,,
79,1654,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1654.png,7,0.240994159,0.000000241,Yellow,Moonriver,Hidden Blades,Yellow,Pale,Glowing,Moonlight Visor,,,
80,1502,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1502.png,7,0.244261804,0.000000244,Orange,Moonriver,Buster Sword,Red,Pale Face Tats,Cyclops,Kilt Protocol,,,
81,3774,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3774.png,7,0.25506233,0.000000255,Red,Kusama,Hidden Blades,White,Pale Eye Gash,Innocent,Moonriver Ice Cream Necklace,,,
82,2751,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2751.png,7,0.255648442,0.000000256,Orange,Kusama,The Great Knife,Red,Pale,Angry,Moonlight Visor,,,
83,3147,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3147.png,7,0.255848021,0.000000256,Orange,Moonriver,Buster Sword,Light Blue,Pale,Anime,Kilt Protocol,,,
84,3912,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3912.png,7,0.255987171,0.000000256,Red,Kusama,Odradek,Light Blue,Tan,Anime,Moon Gauntlet,,,
85,1723,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1723.png,7,0.258718742,0.000000259,Purple,Moonriver,High Frequency Blade,Yellow,Pale Eye Gash,Faded,Kilt Protocol,,,
86,1730,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1730.png,7,0.258910166,0.000000259,Pink,Moonriver,The Great Knife,Dark Blue,Cyborg,Cyclops,Moonriver Ice Cream Necklace,,,
87,729,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/729.png,6,0.259420169,0.000000259,Blue,None,Buster Sword,Purple,Tan Eye Gash,Innocent,Rabbit Mask,,,
88,3571,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3571.png,7,0.259871348,0.000000260,Red,Kusama,The Great Knife,Green,Tan,Joy,Moon Gauntlet,,,
89,3118,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3118.png,7,0.262439263,0.000000262,Green,Moonriver,Dual High Frequency Blades,Green,Pale,Innocent,Kilt Protocol,,,
90,439,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/439.png,7,0.266232484,0.000000266,Pink,Kusama,Ethereal Master Sword,Red,Tan,Innocent,Moonriver Ice Cream Necklace,,,
91,3176,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3176.png,7,0.266338046,0.000000266,Yellow,Kusama,The Great Knife,Dark Blue,Pale,Anime,Moonlight Visor,,,
92,322,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/322.png,6,0.268093658,0.000000268,Red,None,Buster Sword,Gray,Tan Eye Gash,Cyclops,Rabbit Mask,,,
93,2722,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2722.png,7,0.272464384,0.000000272,Pink,Kusama,Dual High Frequency Blades,Red,Pale,Faded,Moon Gauntlet,,,
94,631,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/631.png,7,0.273904376,0.000000274,Orange,Moonriver,Buster Sword,Yellow,Pale,Solid,Moonriver Ice Cream Necklace,,,
95,525,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/525.png,7,0.274668827,0.000000275,Orange,Kusama,High Frequency Blade,Green,Pale,Innocent,Kilt Protocol,,,
96,1355,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1355.png,7,0.279403397,0.000000279,Purple,Moonriver,MoonBlade,Yellow,Pale,Faded,Kilt Protocol,,,
97,3433,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3433.png,7,0.280360798,0.000000280,Orange,Moonriver,Odradek,Gray,Cyborg,Innocent,Sonichu Medallion,,,
98,2471,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2471.png,7,0.283018687,0.000000283,Purple,Kusama,Buster Sword,Red,Pale,Angry,Sonichu Medallion,,,
99,2630,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2630.png,6,0.285088927,0.000000285,Green,None,Odradek,White,Tan Face Tats,Glowing,Moonriver Ice Cream Necklace,,,
100,2321,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2321.png,6,0.288035452,0.000000288,Green,None,High Frequency Blade,Yellow,Pale Face Tats,Anime,Moonlight Visor,,,
101,3337,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3337.png,6,0.292319141,0.000000292,Purple,None,Hidden Blades,Green,Cyborg,Glowing,Moonlight Visor,,,
102,3260,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3260.png,7,0.292343726,0.000000292,Yellow,Kusama,Hidden Blades,Red,Tan,Joy,Moonlight Visor,,,
103,2249,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/2249.png,7,0.294751772,0.000000295,Blue,Moonriver,Odradek,Light Blue,Pale Eye Gash,Joy,Moon Gauntlet,,,
104,1356,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/1356.png,7,0.295288469,0.000000295,Pink,Moonriver,Ethereal Master Sword,Yellow,Pale Eye Gash,Cyclops,Moon Gauntlet,,,
105,576,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/576.png,6,0.29562559,0.000000296,Orange,Kusama,MoonBlade,Red,Tan Face Tats,Angry,None,,,
106,854,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/854.png,6,0.298875185,0.000000299,Pink,Moonriver,MoonBlade,White,Cyborg,Faded,None,,,
107,387,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/387.png,6,0.300987846,0.000000301,Yellow,None,High Frequency Blade,Yellow,Pale Face Tats,Solid,Moonriver Ice Cream Necklace,,,
108,3884,https://ipfs.io/ipfs/QmNgFPzajZ1URS3eqHLrqCVarWgWDAU91VLoDD4vUvyjhV/3884.png,6,0.304849153,0.000000305,Purple,None,Buster Sword,Red,Cyborg,Anime,Moonriver Ice Cream Necklace,,,
